battery_id,model,cycle,soh_true_matr,soh_pred,usage_boundary
1,linear_recent,151,1.0033736443534562,1.0033501556840623,audit_only_not_for_training_or_tuning
1,linear_recent,152,1.0031962568111898,1.0033040503429826,audit_only_not_for_training_or_tuning
1,linear_recent,153,1.003084616652784,1.003257945001903,audit_only_not_for_training_or_tuning
1,linear_recent,154,1.0031087690522267,1.0032118396608234,audit_only_not_for_training_or_tuning
1,linear_recent,155,1.0030977405404455,1.0031657343197438,audit_only_not_for_training_or_tuning
1,linear_recent,156,1.0031040080609679,1.0031196289786641,audit_only_not_for_training_or_tuning
1,linear_recent,157,1.003102784043505,1.0030735236375845,audit_only_not_for_training_or_tuning
1,linear_recent,158,1.003256994947237,1.0030274182965049,audit_only_not_for_training_or_tuning
1,linear_recent,159,1.0032255712478164,1.002981312955425,audit_only_not_for_training_or_tuning
1,linear_recent,160,1.0031729491663672,1.0029352076143454,audit_only_not_for_training_or_tuning
1,linear_recent,161,1.0030204775015688,1.0028891022732658,audit_only_not_for_training_or_tuning
1,linear_recent,162,1.0028187653242489,1.0028429969321861,audit_only_not_for_training_or_tuning
1,linear_recent,163,1.002834323354002,1.0027968915911065,audit_only_not_for_training_or_tuning
1,linear_recent,164,1.0028237537929767,1.002750786250027,audit_only_not_for_training_or_tuning
1,linear_recent,165,1.0029964985976978,1.0027046809089473,audit_only_not_for_training_or_tuning
1,linear_recent,166,1.003080398574704,1.0026585755678676,audit_only_not_for_training_or_tuning
1,linear_recent,167,1.0030816618200222,1.0026124702267878,audit_only_not_for_training_or_tuning
1,linear_recent,168,1.0030895542801357,1.0025663648857082,audit_only_not_for_training_or_tuning
1,linear_recent,169,1.0030470952482937,1.0025202595446285,audit_only_not_for_training_or_tuning
1,linear_recent,170,1.0029901790737292,1.002474154203549,audit_only_not_for_training_or_tuning
1,linear_recent,171,1.0028921819792926,1.0024280488624693,audit_only_not_for_training_or_tuning
1,linear_recent,172,1.0026393583564956,1.0023819435213897,audit_only_not_for_training_or_tuning
1,linear_recent,173,1.0027400008963891,1.00233583818031,audit_only_not_for_training_or_tuning
1,linear_recent,174,1.0025400653113585,1.0022897328392304,audit_only_not_for_training_or_tuning
1,linear_recent,175,1.002631482997271,1.0022436274981505,audit_only_not_for_training_or_tuning
1,linear_recent,176,1.002516107726358,1.002197522157071,audit_only_not_for_training_or_tuning
1,linear_recent,177,1.002453154156424,1.0021514168159913,audit_only_not_for_training_or_tuning
1,linear_recent,178,1.0024258357176712,1.0021053114749117,audit_only_not_for_training_or_tuning
1,linear_recent,179,1.002435118938642,1.002059206133832,audit_only_not_for_training_or_tuning
1,linear_recent,180,1.002343101422933,1.0020131007927524,audit_only_not_for_training_or_tuning
1,linear_recent,181,1.0023606140323114,1.0019669954516728,audit_only_not_for_training_or_tuning
1,linear_recent,182,1.0023263580842472,1.0019208901105932,audit_only_not_for_training_or_tuning
1,linear_recent,183,1.0025339669534248,1.0018747847695133,audit_only_not_for_training_or_tuning
1,linear_recent,184,1.0026017920539771,1.0018286794284337,audit_only_not_for_training_or_tuning
1,linear_recent,185,1.0026069298375726,1.001782574087354,audit_only_not_for_training_or_tuning
1,linear_recent,186,1.0025437418648986,1.0017364687462744,audit_only_not_for_training_or_tuning
1,linear_recent,187,1.002378810001584,1.0016903634051948,audit_only_not_for_training_or_tuning
1,linear_recent,188,1.002208596068011,1.0016442580641152,audit_only_not_for_training_or_tuning
1,linear_recent,189,1.0022069099912974,1.0015981527230355,audit_only_not_for_training_or_tuning
1,linear_recent,190,1.002259152223657,1.001552047381956,audit_only_not_for_training_or_tuning
1,linear_recent,191,1.002343682409329,1.001505942040876,audit_only_not_for_training_or_tuning
1,linear_recent,192,1.0025100054006992,1.0014598366997964,audit_only_not_for_training_or_tuning
1,linear_recent,193,1.0026413554896454,1.0014137313587168,audit_only_not_for_training_or_tuning
1,linear_recent,194,1.002614645563074,1.0013676260176372,audit_only_not_for_training_or_tuning
1,linear_recent,195,1.0026224138401654,1.0013215206765576,audit_only_not_for_training_or_tuning
1,linear_recent,196,1.0025966630787306,1.001275415335478,audit_only_not_for_training_or_tuning
1,linear_recent,197,1.0024886115326626,1.0012293099943983,audit_only_not_for_training_or_tuning
1,linear_recent,198,1.0021585917665825,1.0011832046533187,audit_only_not_for_training_or_tuning
1,linear_recent,199,1.0020056782756084,1.0011370993122388,audit_only_not_for_training_or_tuning
1,linear_recent,200,1.0019773619188586,1.0010909939711592,audit_only_not_for_training_or_tuning
1,policy_mean,151,1.0033736443534562,1.0033386480469966,audit_only_not_for_training_or_tuning
1,policy_mean,152,1.0031962568111898,1.0032810350688512,audit_only_not_for_training_or_tuning
1,policy_mean,153,1.003084616652784,1.0032234220907057,audit_only_not_for_training_or_tuning
1,policy_mean,154,1.0031087690522267,1.0031658091125604,audit_only_not_for_training_or_tuning
1,policy_mean,155,1.0030977405404455,1.0031081961344148,audit_only_not_for_training_or_tuning
1,policy_mean,156,1.0031040080609679,1.0030505831562695,audit_only_not_for_training_or_tuning
1,policy_mean,157,1.003102784043505,1.002992970178124,audit_only_not_for_training_or_tuning
1,policy_mean,158,1.003256994947237,1.0029353571999786,audit_only_not_for_training_or_tuning
1,policy_mean,159,1.0032255712478164,1.0028777442218333,audit_only_not_for_training_or_tuning
