battery_id,policy,prediction_test,matched_cell,match_confidence,align_offset,align_rmse,model,n_hat,n_true_080_contest_def,n_true_088ah_contest_frame,n_true_088_label_contest_frame,n_true_088_label_abs,err_080,err_088_label,ape_080,ape_088_label,rmse_soh_151_200_matr,mae_soh_151_200_matr,soh200_true_matr,soh200_pred,soh200_abs_err_matr,soh300_true_matr,soh300_pred,soh300_abs_err_matr,soh500_true_matr,soh500_pred,soh500_abs_err_matr,soh150_true_matr,q0_contest,usage_boundary
1,3_6C-80PER_3_6C,0,b1c0,low,11.0,0.10852692265024619,linear_recent,4561.555283231503,0.15452126918200343,0.13791469702784226,1847.0,1858.0,4561.400761962322,2714.5552832315034,29519.565727807087,1.4697104944404458,0.000624249457810428,0.0005012733308177308,1.0019773619188586,1.0010909939711592,0.0008863679476993624,0.9990522208535242,0.9964804598631937,0.0025717609903305183,0.9916672923267614,0.9872593916472627,0.0044079006794987,1.0032971377825257,1.0706892,audit_only_not_for_training_or_tuning
1,3_6C-80PER_3_6C,0,b1c0,low,11.0,0.10852692265024619,policy_mean,3680.389637413695,0.15452126918200343,0.13791469702784226,1847.0,1858.0,3680.2351161445126,1833.3896374136948,23817.01325407659,0.992631097679315,0.0009510865534697552,0.0007866796982126489,1.0019773619188586,1.0005156121178709,0.0014617498009876773,0.9990522208535242,0.9947543143033285,0.004297906550195685,0.9916672923267614,0.983231718674244,0.008435573652517458,1.0032971377825257,1.0706892,audit_only_not_for_training_or_tuning
1,3_6C-80PER_3_6C,0,b1c0,low,11.0,0.10852692265024619,persist,20000.0,0.15452126918200343,0.13791469702784226,1847.0,1858.0,19999.84547873082,18153.0,129431.01997935267,9.828370330265296,0.0007792511557444124,0.000694094418490967,1.0019773619188586,1.003396261025142,0.0014188991062833445,0.9990522208535242,1.003396261025142,0.0043440401716177135,0.9916672923267614,1.003396261025142,0.01172896869838047,1.0032971377825257,1.0706892,audit_only_not_for_training_or_tuning
1,3_6C-80PER_3_6C,0,b1c0,low,11.0,0.10852692265024619,fusion_pbt_batterygpt,4587.177352675046,0.15452126918200343,0.13791469702784226,1847.0,1858.0,4587.022831405864,2740.1773526750458,29685.38153801353,1.4835827572685683,0.0006265403736857634,0.0005032600043195857,1.0019773619188586,1.001086892663352,0.0008904692555065097,0.9990522208535242,0.9964681559397723,0.002584064913751849,0.9916672923267614,0.9872306824926129,0.004436609834148508,1.0032971377825257,1.0706892,audit_only_not_for_training_or_tuning
2,3_6C-80PER_3_6C,1,b1c1,low,1.0,0.30767133058890656,linear_recent,8555.089386034306,,,2153.0,2154.0,,6402.089386034306,,2.973566830485047,0.008635707847739912,0.00863483674053368,1.0027851671094739,0.994082351592256,0.008702815517217855,0.999754283871826,0.9917594278912043,0.007994855980621662,0.9939049402148095,0.9871135804891006,0.006791359725708879,1.0038493626576757,1.0753012,audit_only_not_for_training_or_tuning
2,3_6C-80PER_3_6C,1,b1c1,low,1.0,0.30767133058890656,policy_mean,4560.693079969447,,,2153.0,2154.0,,2407.6930799694474,,1.1182968323127949,0.009177391504788884,0.009171274622073561,1.0027851671094739,0.9930305126088445,0.0097546545006294,0.999754283871826,0.9886039109409692,0.011150372930856745,0.9939049402148095,0.979750707605219,0.014154232609590478,1.0038493626576757,1.0753012,audit_only_not_for_training_or_tuning
2,3_6C-80PER_3_6C,1,b1c1,low,1.0,0.30767133058890656,persist,20000.0,,,2153.0,2154.0,,17847.0,,8.289363678588018,0.008050063600374338,0.008042491196765438,1.0027851671094739,0.995243813442782,0.007541353666691841,0.999754283871826,0.995243813442782,0.004510470429043956,0.9939049402148095,0.995243813442782,0.001338873227972548,1.0038493626576757,1.0753012,audit_only_not_for_training_or_tuning
2,3_6C-80PER_3_6C,1,b1c1,low,1.0,0.30767133058890656,fusion_pbt_batterygpt,7759.013633292412,,,2153.0,2154.0,,5606.013633292412,,2.603814971338789,0.008680387325869034,0.0086794598532359,1.0027851671094739,0.99399485529284,0.008790311816633811,0.999754283871826,0.9914969389929558,0.008257344878870199,0.9939049402148095,0.9865011063931874,0.007403833821622019,1.0038493626576757,1.0753012,audit_only_not_for_training_or_tuning
3,3_6C-80PER_3_6C,0,b1c2,low,1.0,0.30783656604801257,linear_recent,9619.949025390264,,,2236.0,2237.0,,7383.949025390264,,3.3023027841638033,0.007826822190547186,0.007674505512202155,1.0025970545705656,0.9950888177248396,0.007508236845725991,0.9997577599109294,0.9930177999603166,0.006739959950612828,0.9939419159192425,0.9888757644312707,0.005066151487971848,1.0036323910370513,1.0799223,audit_only_not_for_training_or_tuning
3,3_6C-80PER_3_6C,0,b1c2,low,1.0,0.30783656604801257,policy_mean,3580.990543404353,,,2236.0,2237.0,,1344.990543404353,,0.6015163432040935,0.008729844005485569,0.00860112598896359,1.0025970545705656,0.9932661968028068,0.009330857767758771,0.9997577599109294,0.9875499371942189,0.012207822716710504,0.9939419159192425,0.9761174179770427,0.01782449794219987,1.0036323910370513,1.0799223,audit_only_not_for_training_or_tuning
