battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,matr_source_key,external_eol_cycles,E_low,E_high,C_high,log_eol
13,98,3,4,5_6C_36PER_4_3C,5.6,36,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0,MATR_b3c3.pkl,1113.0,261.8,129.0,4.3,7.014814351275545
15,100,3,6,5_6C_36PER_4_3C,5.6,36,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0,MATR_b3c5.pkl,826.0,261.8,129.0,4.3,6.716594773520978
17,102,3,8,4_8C_80PER_4_8C,4.8,80,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0,MATR_b3c7.pkl,1834.0,240.0,144.0,4.8,7.51425465281641
18,103,3,9,5C_67PER_4C,5.0,67,4.0,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0,MATR_b3c8.pkl,826.0,250.0,137.0,4.566666666666666,6.716594773520978
19,104,3,10,5_3C_54PER_4C,5.3,54,4.0,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0,MATR_b3c9.pkl,1036.0,265.0,125.2,4.173333333333334,6.943122422819428
20,105,3,11,4_8C_80PER_4_8C,4.8,80,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0,MATR_b3c10.pkl,1076.0,240.0,144.0,4.8,6.98100574072173
21,106,3,12,5_6C_19PER_4_6C,5.6,19,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0,MATR_b3c11.pkl,815.0,249.0,138.0,4.6,6.703188113240863
22,107,3,13,5_6C_36PER_4_3C,5.6,36,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0,MATR_b3c12.pkl,930.0,261.8,129.0,4.3,6.835184586147301
23,108,3,14,5_6C_19PER_4_6C,5.6,19,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0,MATR_b3c13.pkl,814.0,249.0,138.0,4.6,6.70196036600254
26,112,3,18,5_3C_54PER_4C,5.3,54,4.0,1.069051,10.156982147387,0.0157023014520548,36.3732818978054,0,MATR_b3c17.pkl,1313.0,265.0,125.2,4.173333333333334,7.180069874302796
27,113,3,19,5_6C_19PER_4_6C,5.6,19,4.6,1.0701538,10.2198757714701,0.0151870220279476,36.8258501633071,0,MATR_b3c18.pkl,1143.0,249.0,138.0,4.6,7.04141166379481
28,114,3,20,5_6C_36PER_4_3C,5.6,36,4.3,1.0738997,10.2056660384171,0.0157107922400347,36.4354554222638,0,MATR_b3c19.pkl,1152.0,261.8,129.0,4.3,7.049254841255837
29,115,3,21,5C_67PER_4C,5.0,67,4.0,1.0681109,10.1844151334154,0.0153900020837438,34.2488122883073,0,MATR_b3c20.pkl,811.0,250.0,137.0,4.566666666666666,6.698268054115413
