battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,max_cycle,SOH_1,SOH_200,fade_200,E_L,E_H,C_high,q_star,power_p,power_q,IR_1,tau_high,Pi_high,H_all
12,97,3,3,5_6C_19PER_4_6C,5.6,19,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0,200,0.998717567315019,0.99419935051627,0.004518216798749,249.0,138.0,4.6,50.0,1.0,1.0,0.014914119,6.521739130434783,0.06860494739999999,5.771764052999999
13,98,3,4,5_6C_36PER_4_3C,5.6,36,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0,200,0.998611757370153,0.995155786646735,0.0034559707234179,261.8,129.0,4.3,50.0,1.0,1.0,0.014948572,6.976744186046512,0.0642788596,5.841901937599999
15,100,3,6,5_6C_36PER_4_3C,5.6,36,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0,200,0.998717439816754,0.993561365536815,0.005156074279939,261.8,129.0,4.3,50.0,1.0,1.0,0.01536885,6.976744186046512,0.06608605499999999,6.006146579999999
17,102,3,8,4_8C_80PER_4_8C,4.8,80,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0,200,0.998088426855813,0.997381893495213,0.0007065333606,240.0,144.0,4.8,50.0,1.0,1.0,0.015565177,6.25,0.07471284959999999,5.977027968
18,103,3,9,5C_67PER_4C,5.0,67,4.0,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0,200,0.997850651212335,0.995022140620544,0.002828510591791,250.0,137.0,4.566666666666666,50.0,1.0,1.0,0.015485343,6.65,0.0707163997,5.992827741
19,104,3,10,5_3C_54PER_4C,5.3,54,4.0,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0,200,0.997982383905206,0.997276849461235,0.000705534443971,265.0,125.2,4.173333333333334,50.0,1.0,1.0,0.015937412,7.254716981132075,0.06651213274666667,6.2187781624000005
20,105,3,11,4_8C_80PER_4_8C,4.8,80,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0,200,0.998256874548827,0.995832331769141,0.0024245427796859,240.0,144.0,4.8,50.0,1.0,1.0,0.015538276,6.25,0.0745837248,5.966697984
21,106,3,12,5_6C_19PER_4_6C,5.6,19,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0,200,0.998594008913476,0.993268710739944,0.005325298173532,249.0,138.0,4.6,50.0,1.0,1.0,0.015625391,6.521739130434783,0.07187679859999999,6.0470263169999985
22,107,3,13,5_6C_36PER_4_3C,5.6,36,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0,200,0.99853890131604,0.996730026565937,0.0018088747501029,261.8,129.0,4.3,50.0,1.0,1.0,0.016181953,6.976744186046512,0.0695823979,6.323907232399999
23,108,3,14,5_6C_19PER_4_6C,5.6,19,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0,200,0.997818406429724,0.993248052367296,0.004570354062428,249.0,138.0,4.6,50.0,1.0,1.0,0.015258422,6.521739130434783,0.0701887412,5.905009313999999
26,112,3,18,5_3C_54PER_4C,5.3,54,4.0,1.069051,10.156982147387,0.0157023014520548,36.3732818978054,0,200,0.99888517011817,0.994394257149565,0.004490912968605,265.0,125.2,4.173333333333334,50.0,1.0,1.0,0.015568673,7.254716981132075,0.06497326198666667,6.0748962046
27,113,3,19,5_6C_19PER_4_6C,5.6,19,4.6,1.0701538,10.2198757714701,0.0151870220279476,36.8258501633071,0,200,0.999055247946604,0.99349054780724,0.005564700139364,249.0,138.0,4.6,50.0,1.0,1.0,0.015133779,6.521739130434783,0.0696153834,5.8567724729999995
28,114,3,20,5_6C_36PER_4_3C,5.6,36,4.3,1.0738997,10.2056660384171,0.0157107922400347,36.4354554222638,0,200,0.999197858049499,0.993623156799467,0.005574701250032,261.8,129.0,4.3,50.0,1.0,1.0,0.015604726,6.976744186046512,0.0671003218,6.098326920799999
29,115,3,21,5C_67PER_4C,5.0,67,4.0,1.0681109,10.1844151334154,0.0153900020837438,34.2488122883073,0,200,0.998365188483705,0.995191763327198,0.0031734251565069,250.0,137.0,4.566666666666666,50.0,1.0,1.0,0.015441469,6.65,0.07051604176666666,5.975848503
30,116,3,22,3_7C_31PER_5_9C,3.7,31,5.9,1.0686967,10.8033723951577,0.0147235309442283,36.6638177137284,0,200,0.999629848206699,0.97151753626637,0.0281123119403289,226.8,177.0,5.9,50.0,1.0,1.0,0.013937969,5.084745762711864,0.0822340171,5.6281518822
31,119,3,25,5C_67PER_4C,5.0,67,4.0,1.0511289,10.1645542677994,0.0156254359247573,36.0629472851473,0,200,0.997311956697224,0.995305927750631,0.0020060289465929,250.0,137.0,4.566666666666666,50.0,1.0,1.0,0.015771486,6.65,0.0720231194,6.103565082
32,120,3,26,5_3C_54PER_4C,5.3,54,4.0,1.0654705,10.1516542560729,0.0158067213299595,37.0596551133752,0,200,0.997510986930187,0.995780906181823,0.001730080748364,265.0,125.2,4.173333333333334,50.0,1.0,1.0,0.0157979,7.254716981132075,0.06592990266666668,6.16434058
33,121,3,27,5_6C_19PER_4_6C,5.6,19,4.6,1.0758095,10.2456923677378,0.0158283227020448,37.351300097473,0,200,0.997909611320592,0.995231116661454,0.0026784946591379,249.0,138.0,4.6,50.0,1.0,1.0,0.015716448,6.521739130434783,0.0722956608,6.082265376
34,122,3,28,5_6C_36PER_4_3C,5.6,36,4.3,1.0644526,10.2173661484099,0.0150317367102474,36.7827816190045,0,200,0.99793305967781,0.994186049242587,0.0037470104352229,261.8,129.0,4.3,50.0,1.0,1.0,0.015114453,6.976744186046512,0.06499214789999999,5.906728232399999
35,123,3,29,3_7C_31PER_5_9C,3.7,31,5.9,1.0526985,10.9003622808642,0.0142349387518519,37.5017204295249,0,200,0.999688343813542,0.960298209791312,0.03939013402223,226.8,177.0,5.9,50.0,1.0,1.0,0.013172634,5.084745762711864,0.07771854060000001,5.319109609200001
36,125,3,31,5_3C_54PER_4C,5.3,54,4.0,1.0723398,10.1718277480371,0.0156827995835118,33.1446326677589,0,200,0.998134453276844,0.995450933556695,0.002683519720149,265.0,125.2,4.173333333333334,50.0,1.0,1.0,0.015760992,7.254716981132075,0.06577587328000001,6.1499390784
37,128,3,34,5C_67PER_4C,5.0,67,4.0,1.0629164,10.1144099012732,0.0154549562766952,34.074108795871,0,200,0.998665944000864,0.994839326027898,0.0038266179729659,250.0,137.0,4.566666666666666,50.0,1.0,1.0,0.015608473,6.65,0.07127869336666666,6.040479051
38,129,3,35,5_3C_54PER_4C,5.3,54,4.0,1.0642781,10.1409416436186,0.0155329390216076,37.3183949827542,0,200,0.998648182274915,0.993737308885713,0.004910873389202,265.0,125.2,4.173333333333334,50.0,1.0,1.0,0.01546871,7.254716981132075,0.06455608306666667,6.035890642
39,130,3,36,5_6C_19PER_4_6C,5.6,19,4.6,1.0654298,10.2255189026251,0.0155038318296703,37.1445099087198,0,200,0.998950986728548,0.994542376231639,0.0044086104969089,249.0,138.0,4.6,50.0,1.0,1.0,0.015503207,6.521739130434783,0.0713147522,5.9997411089999995
