battery_id,policy,SOH,charge_time_mean
1,3_6C-80PER_3_6C,1.0002354558166835,13.38635310833332
3,3_6C-80PER_3_6C,0.99523231164644,13.37813161666668
4,3_6C-80PER_3_6C,0.967948044187048,13.387559654166662
6,3_6C-80PER_3_6C,0.992999031853879,13.376107391666682
7,4_8C_80PER_4_8C,0.989379147758751,10.058253991666643
8,4_8C_80PER_4_8C,0.98137636528723,10.068305274999993
12,5_6C_19PER_4_6C,0.994167588322084,10.043423237499997
13,5_6C_36PER_4_3C,0.995225399616455,10.04125820833333
15,5_6C_36PER_4_3C,0.993553282473281,10.042006879166673
17,4_8C_80PER_4_8C,0.996334456667591,11.038442020833347
18,5C_67PER_4C,0.995046291132598,10.043254516666673
19,5_3C_54PER_4C,0.997354502037367,10.041704833333363
20,4_8C_80PER_4_8C,0.996036810488781,11.038242395833311
21,5_6C_19PER_4_6C,0.993320823224087,10.042320187500051
22,5_6C_36PER_4_3C,0.996783116655199,10.042500437500014
23,5_6C_19PER_4_6C,0.993317781128631,10.042371012500054
26,5_3C_54PER_4C,0.994344142608725,10.042400604166717
27,5_6C_19PER_4_6C,0.993470751587295,10.043104579166657
28,5_6C_36PER_4_3C,0.993482445334513,10.043201595833288
29,5C_67PER_4C,0.995218754906443,10.043108199999969
30,3_7C_31PER_5_9C,0.971521106035042,10.111348141666678
31,5C_67PER_4C,0.995277553495104,10.041756029166653
32,5_3C_54PER_4C,0.99576891148089,10.042581495833314
33,5_6C_19PER_4_6C,0.995258547168434,10.042343658333357
34,5_6C_36PER_4_3C,0.994051590460674,10.044962791666666
35,3_7C_31PER_5_9C,0.960114030750495,10.155740183333407
36,5_3C_54PER_4C,0.995357534990308,10.043639466666663
37,5C_67PER_4C,0.994815396582459,10.043231020833357
38,5_3C_54PER_4C,0.993827835036726,10.043936283333343
39,5_6C_19PER_4_6C,0.994534412309474,10.043563033333307
40,5_6C_36PER_4_3C,0.993010874550068,10.043482625000017
41,4_8C_80PER_4_8C,0.949732816271975,11.038398062500018
42,5C_67PER_4C,0.996301705503886,10.043584949999953
43,5_3C_54PER_4C,0.994722830183547,10.043597191666683
44,5_6C_19PER_4_6C,0.993874511377955,10.04341869583333
45,5_6C_36PER_4_3C,0.996554122833245,10.043049662499975
46,4_8C_80PER_4_8C,0.996955200920384,11.038407024999978
47,5C_67PER_4C,0.996557735057307,10.04372073749995
48,5_3C_54PER_4C,0.996913786313853,10.043360749999934
49,4_8C_80PER_4_8C,0.996944069210061,11.038005862500023
