group,feature,n,pearson,pearson_p,spearman,spearman_p
all,cycle,9350,-0.25203651878298594,1.9643878762095958e-135,-0.6611509071805224,0.0
all,log_cycle,9350,-0.19573524580507395,2.1133609212188685e-81,-0.6611509071805224,0.0
all,cycle_sq,9350,-0.25595509182509113,9.271759818406815e-140,-0.6611509071805224,0.0
all,capacity,9350,0.4837814521658374,0.0,0.42312082681623103,0.0
all,SOH,9350,0.9013419153669724,0.0,0.9837657553457921,0.0
all,SOH_smooth,9350,1.0,0.0,1.0,0.0
all,soh1,9350,0.7282785305494675,0.0,-0.027168404592543747,0.008609239492369355
all,soh_loss,9350,-0.6137195945254904,0.0,-0.7881610796543962,0.0
all,dsoh,9350,0.0944979568915734,5.3463091170183285e-20,0.6237909008002959,0.0
all,abs_dsoh,9350,0.07323029260727013,1.344949560082331e-12,-0.5107302914062164,0.0
all,soh_slope_w10,9252,0.21720187208027136,3.261029391190998e-99,0.694210414879932,0.0
all,soh_slope_w25,9252,0.31043848459884843,7.561253661724074e-206,0.747203072614619,0.0
all,soh_slope_w50,9252,0.3299757786788883,7.011748035376097e-234,0.7676978212922435,0.0
all,soh_curv_w50,9252,0.17387385454049226,1.0367894419248811e-63,-0.4028086918790216,0.0
all,soh_std_w25,9252,0.08942260448674691,6.8476065525409084e-18,-0.45427308419781753,0.0
all,chargetime,9350,-0.07567626658484641,2.3522773921978014e-13,-0.1373431528167451,1.3197386347043506e-40
all,ct_slope_w25,9252,-0.05486747920372547,1.2860665122914723e-07,-0.1631512861527188,3.267186559716868e-56
all,ct_std_w25,9252,-0.10484790457519669,4.9098605173044784e-24,-0.11800416151918623,4.756028954169362e-30
all,ct_cummean,9350,-0.05369737129313031,2.0434299915457297e-07,-0.15706785282966337,1.0292396693872388e-52
all,IR,9350,0.2236008814366593,2.831404795471802e-106,0.15765875106396612,4.20544594830965e-53
all,ir_slope_w25,9252,-0.018618982044754456,0.07332167475516432,-0.19844419603645233,8.339446729624463e-83
all,ir_std_w25,9252,-0.020359225964449394,0.050202129596000115,-0.17806294034098866,8.90222544774943e-67
all,ir_delta,9350,-0.13287627007194908,4.2698582276194493e-38,-0.19861979035822733,8.244613589336392e-84
all,ir_rel,9350,-0.15256633641227893,8.391526529412527e-50,-0.19141810582428262,7.235322608570369e-78
all,Tavg,9350,-0.15496319643919695,2.4246614419108e-51,-0.18993844303803226,1.1257759390917511e-76
all,tavg_slope_w25,9252,-0.03176145978706216,0.0022475482369832566,-0.02990827684598162,0.0040140972766084925
all,tavg_std_w25,9252,-0.2592009539299053,6.435271935292083e-142,-0.45845033862329104,0.0
all,tavg_cummean,9350,-0.14296301933843739,6.942308522310823e-44,-0.15179124965910332,2.6076202115296526e-49
all,tavg_max_w25,9252,-0.1742328612252294,5.700820305861339e-64,-0.22690350578445045,2.4613334618282622e-108
all,C1_filled,9350,0.23861388058169924,3.4854858368419822e-121,0.16643271981131,4.705039747538701e-59
all,Q1,9350,-0.06331211403814316,8.937215326804272e-10,0.029630588043518934,0.00416499181363708
all,C2,9350,-0.3476172707862444,8.989717482384481e-264,-0.15501487299661157,2.2448701240394364e-51
all,initial_capacity,9350,-0.14468755809937917,6.428665786144127e-45,0.06727134738221234,7.448507501206541e-11
all,mean_chargetime,9350,-0.08658155403307194,5.001040345717859e-17,-0.15025272018317562,2.4318877152885056e-48
all,mean_IR,9350,0.19734018995775532,9.759027573168211e-83,0.1502036299180137,2.6104494021977776e-48
all,mean_Tavg,9350,-0.12840756649571625,1.1385656173984866e-35,-0.1022431464131141,3.72516604219733e-23
all,dataset_id,9350,-0.059264514207405763,9.758114319032996e-09,0.10835941037498445,7.986003605149374e-26
all,t1,9350,-0.09000771652235243,2.785184487945896e-18,-0.02197197314240131,0.033623253427243406
all,t2,9350,0.1178232736527968,2.9177403318436856e-30,0.017543738119047053,0.08982861274611588
all,t12,9350,0.024919044235993393,0.015969629944791522,-0.12749836185886396,3.4638815128280883e-35
all,avgC80,9350,-0.04991449218499407,1.3731253360806873e-06,-0.013539621423503461,0.19049910991499885
all,C1_over_C2,9350,0.39049334733499447,0.0,0.23553546431433428,4.866584807466284e-118
