battery_id,policy,soh1,soh150,fade150,soh_lin_slope,soh_quad_curv,soh_fit_resid_std,pw_a,pw_b,exp_a,exp_b,exp_c,d1_50,d50_100,d100_150,soh_slope_1_50,ir_mean,ir_std,ir_slope,ir_rel_end,tavg_mean,tavg_std,tavg_slope,ct_mean,ct_std,ct_slope,C1,Q1,C2,initial_capacity,dataset_id,t1,t2,t12,avgC80,C1_over_C2,soh200,fade200,late_mean,has_full200
1,3_6C-80PER_3_6C,1.0003771091243534,1.003396261025142,-0.003019151900788497,-0.00010240706118255767,1.6953930721029661e-06,0.014873980055652719,,,0.02188209967723533,0.031773584463810324,1.0029308809842226,0.004820683101439238,-0.0003623460477608642,-0.001439185152889877,-0.0004804858229190582,0.01666451266,0.00019685477852126286,3.965204124627131e-07,0.0006365890961330883,31.582536690767604,0.18010128132098407,-0.0010947717334914894,13.382598155555536,0.042243473794134394,-4.472565002890321e-05,3.6,80.0,3.6,1.0706892,1,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,0.9971576252006654,0.0032194839236879824,1.0008821595473272,1
2,3_6C-80PER_3_6C,0.9914361147696892,0.995243813442782,-0.0038076986730928297,-8.126861974536661e-06,-3.3385175559346945e-07,0.0008062368974326295,,,0.5085433883384064,1.5984219177951594e-05,0.4886205316841202,0.005934996604706866,-0.0009212794333710583,-0.0012060184982429778,5.89118307468802e-05,0.016839413546666668,0.0013855949840142529,4.877371214720641e-06,-0.0002660393779362568,31.289619335584344,0.17691074400443565,-0.0022076764681007647,13.378601577777772,0.04208006086009879,-3.6178804983801166e-05,3.6,80.0,3.6,1.0845895,1,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,,,,0
3,3_6C-80PER_3_6C,0.9925268380644886,0.996124326607101,-0.003597488542612437,-4.882703777793961e-06,-3.376839621563644e-07,0.0007363085829423393,,,0.3773012712798205,1.2936382152743262e-05,0.6203019704954988,0.005455692206311369,-0.0007279007879669175,-0.0011303028757320144,5.576808268482356e-05,0.016692326,0.0013739768437157523,5.06781596693183e-06,0.0012375518586102223,31.44048123634447,0.18571094416351364,-0.002175505037702881,13.376288766666674,0.04169779750085844,-5.1798073988353294e-05,3.6,80.0,3.6,1.0880535,1,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,0.995110203680242,-0.0025833656157533413,0.9955920618793102,1
4,80PER_3_6C,0.999277151374718,0.977270365911175,0.022006785463542955,-0.00014934521789384912,-2.8026750992164387e-07,0.0005295441675086983,4.047925667368876e-05,1.254266242432304,0.9999999997281536,0.00015098837356237706,0.0009022486501273906,-0.005431373468046008,-0.007235052987937918,-0.00934035900755903,-0.00011878797148656348,0.01717739734,0.00021904637694709474,1.9159710902706384e-06,0.007286954834424366,31.92375835801903,0.4866945379572763,0.0006779832961935918,13.383493544444441,0.041955170403805905,-8.822432108084156e-05,3.6,80.0,3.6,1.024101,2,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,0.96767101584707,0.031606135527647905,0.9726696285132033,1
5,80PER_3_6C,0.996675023035153,0.996307250141854,0.0003677728932990343,-1.4648701147805744e-05,-3.4821941000897845e-07,0.0006899458615874293,2.4811121215427595e-13,4.142431492303306,0.6475127386848846,2.2643442498761062e-05,0.3518544407368764,0.0025763574997620386,-0.0010122970080119753,-0.0019318333850490976,4.651035681192392e-05,0.01729883692,0.00022334557214408668,1.1707535588247676e-06,0.004051127887776865,32.05519449416848,0.4308750021736421,-0.0009617767908416788,13.38257589999999,0.04234990676107156,-7.000623138821033e-05,3.6,80.0,3.6,1.0322267,2,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,,,,0
6,80PER_3_6C,0.997448509466007,0.996165860585801,0.0012826488802060165,-1.7917438085060332e-05,-2.4698158565985877e-07,0.000515986712677132,1.5242796368542434e-14,4.99242481761806,0.668489717450191,2.6842307415849634e-05,0.3310404887533456,0.0016301596910419658,-0.0011328727965610463,-0.001779935774686936,2.844932431227847e-05,0.017132980786666665,0.00020110139383571054,1.3172462100537548e-06,0.0008865904774736766,32.51559902740294,0.3541143242422072,-0.0013524702131875444,13.377512411111114,0.04191759018713808,5.366007081773954e-05,3.6,80.0,3.6,1.0364138,2,0.2222222222222222,0.0,0.2222222222222222,3.6,1.0,0.993831561293375,0.0036169481726320285,0.9949841230404303,1
7,4_8C_80PER_4_8C,0.996484890762392,0.994693146551961,0.0017917442104310455,-2.0834681494325162e-05,-5.492506514958107e-07,0.0009823675577587826,1.8358952304988434e-14,4.991568661216174,0.8047629222888816,2.591332637690127e-05,0.19474569219620694,0.0029342681345270183,-0.0016028676776169704,-0.0031231446673410934,5.9829512974791726e-05,0.017141657399999996,0.0001547040837381538,1.029862059647044e-06,-0.02354483889402971,30.086063590465674,0.22665400950650585,-9.74441260091302e-05,10.051275511111113,0.04267229740484549,1.9979021289615358e-05,4.8,80.0,4.8,1.0734261,2,0.16666666666666666,0.0,0.16666666666666666,4.8,1.0,0.989658449706039,0.006826441056352994,0.9921716944464084,1
8,4_8C_80PER_4_8C,0.997380280731175,0.989687086263349,0.0076931944678260145,-6.114464918155355e-05,-7.391468950604623e-07,0.0012855112962350177,2.228936941403008e-11,3.9351115231487137,0.9868153391519032,6.218284096213274e-05,0.014422169584369295,0.0018818101140259946,-0.003430532348347004,-0.006144472233505005,3.537691040137223e-05,0.01716954795333333,0.00012245460750695498,-1.4640135348237915e-06,-0.03172264815845513,29.675748371730744,0.52904923297693,-0.009107865860504672,10.063943788888908,0.04491363673372938,0.00037323252589038547,4.8,80.0,4.8,1.0721645,2,0.16666666666666666,0.0,0.16666666666666666,4.8,1.0,0.981435539975442,0.015944740755733045,0.9856847105085086,1
9,4_8C_80PER_4_8C,0.997098980412762,0.988996368956579,0.008102611456182962,-6.733893827925962e-05,-7.508337973642019e-07,0.0013307399309859778,9.778575011910219e-11,3.6502115720724118,0.999999992292423,6.76063807885116e-05,0.0013304839637932457,0.0020294333726580405,-0.003938472441732066,-0.0061935723871089365,3.795481898171225e-05,0.017545285180000002,0.00014329072104870796,-1.7664860109338223e-06,-0.04089981813632597,31.728171842666196,0.21749513556894748,0.0025827687686156985,10.046990233333355,0.042286323319257614,0.00014414502866841468,4.8,80.0,4.8,1.0825263,2,0.16666666666666666,0.0,0.16666666666666666,4.8,1.0,,,,0
10,5C_67PER_4C_NEWSTRUCTURE,0.997777763673319,0.997163961472924,0.000613802200395086,-1.3780221951323572e-05,-2.3068984787908426e-07,0.0004978517436517773,9.412149930233268e-15,4.9593658227545765,0.5703337719904409,2.419115745056955e-05,0.42932975012784136,0.001697222213924987,-0.0012165298077820852,-0.001094494606537988,3.317104540454779e-05,0.01523868756,3.714528970499741e-05,-7.350620383131614e-08,-0.013547919700117449,32.28294010439977,0.1950903408159738,0.003305558163234611,10.042481033333347,0.0013788601928749827,-6.899373305362699e-06,5.0,67.0,4.0,1.0713712,3,0.134,0.0325,0.1665,4.8375,1.25,,,,0
