group,feature,n,pearson,pearson_p,spearman,spearman_p
3_6C-80PER_3_6C,cycle,1100,-0.34575708388329507,3.043262824809846e-32,-0.41671786331293104,1.9133846731540106e-47
3_6C-80PER_3_6C,log_cycle,1100,-0.2794524642809555,3.497348304403912e-21,-0.41671786331293104,1.9133846731540106e-47
3_6C-80PER_3_6C,cycle_sq,1100,-0.3460018670828455,2.7363846732181623e-32,-0.41671786331293104,1.9133846731540106e-47
3_6C-80PER_3_6C,capacity,1100,0.5648149963141962,1.0494568278849442e-93,0.29505556197366767,1.5522302883845066e-23
3_6C-80PER_3_6C,SOH,1100,0.6296623483851198,1.526380724851314e-122,0.9775891085263222,0.0
3_6C-80PER_3_6C,SOH_smooth,1100,0.9999999999999999,0.0,1.0,0.0
3_6C-80PER_3_6C,soh1,1100,0.027181361935689125,0.3677769834461063,0.306694716812025,2.1790482365380736e-25
3_6C-80PER_3_6C,soh_loss,1100,-0.9443956035120009,0.0,-0.4773340045465676,1.12280403863342e-63
3_6C-80PER_3_6C,dsoh,1100,0.20644033088926425,4.722717227805314e-12,0.4039515945884581,1.991090583751223e-44
3_6C-80PER_3_6C,abs_dsoh,1100,0.221341554403849,1.1277502944868465e-13,-0.2230143702024391,7.288224508256743e-14
3_6C-80PER_3_6C,soh_slope_w10,1088,0.43062502100145433,2.398432764586532e-50,0.5096302696386611,5.709748812574409e-73
3_6C-80PER_3_6C,soh_slope_w25,1088,0.5861772827809058,2.1692224432092287e-101,0.5149709636963262,1.0056924484066396e-74
3_6C-80PER_3_6C,soh_slope_w50,1088,0.6160898610474554,1.064298780022046e-114,0.40811687794466517,6.398910431682611e-45
3_6C-80PER_3_6C,soh_curv_w50,1088,0.4602136305720017,3.9273168195854355e-58,-0.19196196546230734,1.7250029673644747e-10
3_6C-80PER_3_6C,soh_std_w25,1088,0.3769474710040501,4.616280816348389e-38,-0.21199383904362049,1.6062056464369447e-12
3_6C-80PER_3_6C,chargetime,1100,-0.2064850881604261,4.671956345850987e-12,-0.00048260851710041266,0.987243872431248
3_6C-80PER_3_6C,ct_slope_w25,1088,-0.11069788704629364,0.00025379064529648497,-0.05929910848492728,0.050530636893100646
3_6C-80PER_3_6C,ct_std_w25,1088,-0.42229555693045917,2.730097665812253e-48,0.12319721771507686,4.6113236614637094e-05
3_6C-80PER_3_6C,ct_cummean,1100,-0.20029455992963446,2.0347441851037815e-11,0.05311189561264307,0.07827863326069483
3_6C-80PER_3_6C,IR,1100,-0.12599018156651604,2.7824300321376552e-05,-0.4791832034010679,3.17569302032765e-64
3_6C-80PER_3_6C,ir_slope_w25,1088,0.01995440189943197,0.510858364557188,-0.04084703336662776,0.17819089171889285
3_6C-80PER_3_6C,ir_std_w25,1088,0.0101192507746494,0.7388272531289686,-0.227506389660214,3.067143191657327e-14
3_6C-80PER_3_6C,ir_delta,1100,-0.049050407440704574,0.103960910525338,-0.339151690618971,5.17111945781144e-31
3_6C-80PER_3_6C,ir_rel,1100,-0.04857129733959,0.10738771593872272,-0.34138985009582035,1.99550284038085e-31
3_6C-80PER_3_6C,Tavg,1100,-0.12792712474472245,2.085499474824209e-05,0.04140843729991156,0.16994216255664255
3_6C-80PER_3_6C,tavg_slope_w25,1088,-0.09573454873277096,0.0015700028538340274,-0.06889899290439386,0.023043580642283023
3_6C-80PER_3_6C,tavg_std_w25,1088,-0.29857603842015024,7.676051009936728e-24,-0.24555205359113638,2.0987953475368926e-16
3_6C-80PER_3_6C,tavg_cummean,1100,-0.064560509740893,0.03227167901719948,0.08702492920489953,0.0038709608090997483
3_6C-80PER_3_6C,tavg_max_w25,1088,-0.20280175831474467,1.4584410318828333e-11,-0.046107550737745875,0.1285334585478158
3_6C-80PER_3_6C,C1_filled,1100,,,,
3_6C-80PER_3_6C,Q1,1100,,,,
3_6C-80PER_3_6C,C2,1100,,,,
3_6C-80PER_3_6C,initial_capacity,1100,0.3375453641675842,1.0192727677868314e-30,0.19676208189856131,4.613758204803406e-11
3_6C-80PER_3_6C,mean_chargetime,1100,-0.0814655980276199,0.006864843444889345,-0.09015591442855492,0.002764034915166417
3_6C-80PER_3_6C,mean_IR,1100,-0.4327862880980365,1.9684189845636432e-51,-0.44121832291972224,1.299746760992459e-53
3_6C-80PER_3_6C,mean_Tavg,1100,-0.10098417505892456,0.0007964217843029962,0.06888363321298165,0.02232876137091721
3_6C-80PER_3_6C,dataset_id,1100,-0.3568739487176461,2.2136484691855692e-34,-0.27246172536085017,3.5502421911508965e-20
3_6C-80PER_3_6C,t1,1100,,,,
3_6C-80PER_3_6C,t2,1100,,,,
3_6C-80PER_3_6C,t12,1100,,,,
3_6C-80PER_3_6C,avgC80,1100,,,,
3_6C-80PER_3_6C,C1_over_C2,1100,,,,
3_7C_31PER_5_9C,cycle,550,-0.9658216573478118,2e-323,-0.9773780282869415,0.0
3_7C_31PER_5_9C,log_cycle,550,-0.8423449626965391,3.0912278886791885e-149,-0.9773780282869415,0.0
3_7C_31PER_5_9C,cycle_sq,550,-0.9327853579927091,5.033519045784693e-245,-0.9773780282869415,0.0
3_7C_31PER_5_9C,capacity,550,0.8788566733229582,2.8782170467046365e-178,0.856996270412781,6.583973768321072e-160
3_7C_31PER_5_9C,SOH,550,0.9998668935561822,0.0,0.9994875053878529,0.0
3_7C_31PER_5_9C,SOH_smooth,550,1.0,0.0,1.0,0.0
3_7C_31PER_5_9C,soh1,550,-0.07125142890999428,0.09505505179994699,-0.012016307126531064,0.7785751115202116
3_7C_31PER_5_9C,soh_loss,550,-0.9999948416770222,0.0,-0.9999723034376257,0.0
3_7C_31PER_5_9C,dsoh,550,0.5049743085393895,6.277334338427343e-37,0.4674792770750048,3.2865197374434186e-31
3_7C_31PER_5_9C,abs_dsoh,550,-0.5056127298722755,4.944664869517606e-37,-0.4674784115574305,3.2874583519577444e-31
3_7C_31PER_5_9C,soh_slope_w10,544,0.546559829959388,1.0728730413755002e-43,0.5150799957065292,3.430181007535207e-38
3_7C_31PER_5_9C,soh_slope_w25,544,0.645281887854456,2.2049379078502798e-65,0.619376671546514,6.15235112246563e-59
3_7C_31PER_5_9C,soh_slope_w50,544,0.7301136274722653,1.0937451341503436e-91,0.7136974385273395,7.52060237621551e-86
3_7C_31PER_5_9C,soh_curv_w50,544,-0.6846633821291223,1.7835555548572135e-76,-0.7468648719561826,4.1845232506299015e-98
3_7C_31PER_5_9C,soh_std_w25,544,-0.6468241701597226,8.705726791932441e-66,-0.6195491557665186,5.598994519313019e-59
3_7C_31PER_5_9C,chargetime,550,-0.9526302467089093,1.8643948448104736e-285,-0.9825135169492671,0.0
3_7C_31PER_5_9C,ct_slope_w25,544,-0.7515255287449486,5.564270098802267e-100,-0.7770840476694503,4.579949070536837e-111
3_7C_31PER_5_9C,ct_std_w25,544,-0.7523703223100433,2.5167742252141725e-100,-0.7382343251051751,9.762881522478981e-95
3_7C_31PER_5_9C,ct_cummean,550,-0.9531313523140184,1.0847282591289517e-286,-0.9697415799120597,0.0
3_7C_31PER_5_9C,IR,550,-0.26366109729855236,3.3682350149954146e-10,-0.306562299680029,1.968892190782128e-13
3_7C_31PER_5_9C,ir_slope_w25,544,0.44714889306422323,4.2369114601671185e-28,0.4639715199780555,2.1609226532050148e-30
3_7C_31PER_5_9C,ir_std_w25,544,0.1391322798309581,0.0011400583868202971,0.10995086361373074,0.010277241650162253
3_7C_31PER_5_9C,ir_delta,550,-0.8841235007124182,3.1645741775405755e-183,-0.8715639154537209,9.039290400930212e-172
3_7C_31PER_5_9C,ir_rel,550,-0.8711291681936032,2.142004133067251e-171,-0.8575685526883665,2.386169436979553e-160
