battery_id,global_id,dataset_id,local_id,policy,C1,Q1,C2,initial_capacity,mean_chargetime,mean_IR,mean_Tavg,prediction_test,max_cycle,SOH_1,SOH_200_raw,SOH_200,fade_200,fade_slope,charge_time_mean
12,97,3,3,5_6C_19PER_4_6C,5.6,19,4.6,1.0632137,10.1973217061611,0.0148276764976303,38.7783848292256,0,200,0.998717567315019,0.994167588322084,0.99419935051627,0.004518216798749086,2.270460702888988e-05,10.1973217061611
13,98,3,4,5_6C_36PER_4_3C,5.6,36,4.3,1.0655342,10.1874366906044,0.0151619419335727,37.7013361874169,0,200,0.998611757370153,0.995225399616455,0.995155786646735,0.003455970723417967,1.736668705235159e-05,10.1874366906044
15,100,3,6,5_6C_36PER_4_3C,5.6,36,4.3,1.0540558,10.1995672108021,0.0152410719250302,35.8915947953535,0,200,0.998717439816754,0.993553282473281,0.993561365536815,0.005156074279939027,2.5909921004718727e-05,10.1995672108021
17,102,3,8,4_8C_80PER_4_8C,4.8,80,4.8,1.070919,11.1726831852861,0.0156475541106267,33.488542659486,0,200,0.998088426855813,0.996334456667591,0.997381893495213,0.0007065333606000035,3.550418897487455e-06,11.1726831852861
18,103,3,9,5C_67PER_4C,5.0,67,4.0,1.0687144,10.182849490125,0.0152228917122128,34.2778011753314,0,200,0.997850651212335,0.995046291132598,0.995022140620544,0.0028285105917910114,1.421362106427644e-05,10.182849490125
19,104,3,10,5_3C_54PER_4C,5.3,54,4.0,1.0733707,10.2038060613359,0.0160801557148362,33.8440951926936,0,200,0.997982383905206,0.997354502037367,0.997276849461235,0.0007055344439710343,3.5453992159348455e-06,10.2038060613359
20,105,3,11,4_8C_80PER_4_8C,4.8,80,4.8,1.0650008,11.2108420194987,0.0154884690352832,33.4928467555288,0,200,0.998256874548827,0.996036810488781,0.995832331769141,0.0024245427796859564,1.2183632058723399e-05,11.2108420194987
21,106,3,12,5_6C_19PER_4_6C,5.6,19,4.6,1.0707607,10.2959345772059,0.0156314659215686,35.5207162074213,0,200,0.998594008913476,0.993320823224087,0.993268710739944,0.005325298173532,2.6760292329306535e-05,10.2959345772059
22,107,3,13,5_6C_36PER_4_3C,5.6,36,4.3,1.076943,10.2544309470103,0.0161958683576799,34.2100576161686,0,200,0.99853890131604,0.996783116655199,0.996730026565937,0.00180887475010294,9.089822864838895e-06,10.2544309470103
23,108,3,14,5_6C_19PER_4_6C,5.6,19,4.6,1.0696447,10.2880135787321,0.0151389205361963,35.4451970897155,0,200,0.997818406429724,0.993317781128631,0.993248052367296,0.004570354062428006,2.296660332878395e-05,10.2880135787321
