C1,Q1,C2,E_L,E_H,C_high,T_cc_min,T_hat_min,fade_pysr,fade_wls,fade_ols,fade_free_pysr,c1_ge_c2,feasible
4.9,63.0,4.6,245.00000000000003,141.89999999999998,4.7299999999999995,9.93167701863354,9.97634492578854,0.004688202695417143,0.004637668517294413,0.005519595197481931,0.005011069963588782,1,1
5.1,39.0,4.4,247.29999999999998,132.0,4.4,10.179144385026738,10.223812292181739,-0.0062970406960255465,-0.006449431921678017,0.009184839346753064,0.007380261195478454,1,1
5.5,23.0,4.6,250.7,138.0,4.6,9.943873517786562,9.988541424941562,0.0051546219654547976,0.0051455765735782255,0.006597337620057277,0.005783547390481857,1,1
5.1,34.0,4.6,246.99999999999997,138.0,4.6,10.000000000000002,10.044667907155002,0.0014546219654548165,0.0013825860249889188,0.010278005182357091,0.008360653352341202,1,1
4.8,79.0,4.2,240.0,143.39999999999998,4.779999999999999,10.017857142857144,10.062525050012145,0.0017011183607871794,0.0015868274764470058,0.0033408381938879296,0.002919103788314068,1,1
4.8,63.0,4.7,240.0,142.3,4.743333333333334,10.045212765957448,10.089880673112448,0.00022498020618244574,9.502117356557926e-05,0.007056544407625119,0.0062524371216474035,1,1
4.9,24.0,4.7,239.8,141.0,4.7,10.087711680416849,10.13237958757185,-0.0017195467038049195,-0.0018714275334490993,0.016315290773152635,0.012970253637058164,1,1
4.8,61.0,4.5,240.0,138.3,4.61,10.158333333333335,10.203001240488335,-0.005142794901471126,-0.005329729018730689,0.007928961821475365,0.006669103788314068,1,1
4.9,26.0,4.8,242.6,144.0,4.8,9.933673469387756,9.978341376542756,0.005106284626935298,0.005044803634029871,0.015598284459162616,0.012562090371752049,1,1
4.9,27.0,4.7,240.40000000000003,141.0,4.7,10.072079895788102,10.116747802943102,-0.0011195467038048745,-0.0012612128498940556,0.01547289795195795,0.012358008739098977,1,1
5.0,21.0,4.7,241.3,141.0,4.7,10.05191489361702,10.09658280077202,-0.00021954670380491814,-0.0003458908245615455,0.01546532328434392,0.01221935749185252,1,1
4.8,61.0,4.6,240.0,140.2,4.673333333333333,10.103260869565217,10.147928776720217,-0.002593101725335667,-0.0027529726773899976,0.007773550721615139,0.006669103788314068,1,1
5.0,70.0,4.1,250.0,141.0,4.7,9.863414634146341,9.908082541301342,0.008480453296195067,0.0085022220869862,0.002638707137325398,0.0024193574918525158,1,1
5.3,33.0,4.4,249.70000000000002,132.0,4.4,10.144939965694682,10.189607872849683,-0.0038970406960255333,-0.004008573187457898,0.007484904369135607,0.006174419126848143,1,1
5.3,43.0,4.2,257.3,126.0,4.2,10.153638814016173,10.198306721171173,-0.004348703357505979,-0.004416312484205487,0.0049877504982071075,0.004287626674017957,1,1
5.3,39.0,4.3,254.0,129.0,4.3,10.136024572180784,10.180692479335784,-0.003622872026765811,-0.003703930599535832,0.005955529826606462,0.005042343655150034,1,1
5.1,53.0,4.2,254.99999999999997,128.70000000000002,4.290000000000001,10.092436974789917,10.137104881944918,-0.0030254551598397628,-0.0030937623913663836,0.0055644950475649815,0.00463516315626277,1,1
4.9,43.0,4.6,242.9,138.0,4.6,10.091393078970722,10.136060986125722,-0.0026453780345451205,-0.0027872143126370097,0.011135547338779847,0.009092702616650001,1,1
5.3,38.0,4.3,253.0,129.0,4.3,10.162351908731901,10.207019815886902,-0.004622872026765812,-0.004720955072127608,0.006236327433671358,0.005231022900433054,1,1
5.3,34.0,4.5,252.2,135.0,4.5,9.98238993710692,10.02705784426192,0.002628790634714606,0.002602550638243495,0.007048695662210484,0.005985739881565123,1,1
4.9,65.0,4.6,245.00000000000003,142.5,4.75,9.915705412599824,9.960373319754824,0.005493368961565159,0.005451381046138903,0.004957999983352143,0.0046029066982826595,1,1
5.4,46.0,4.1,264.8,122.99999999999999,4.1,10.086720867208674,10.131388774363675,-0.0008745346882461646,-0.0008571915839900024,0.002608408466869232,0.0026420307425875293,1,1
5.0,44.0,4.5,247.0,135.0,4.5,10.08,10.124667907155,-0.0025712093652853762,-0.00268597661923331,0.009317800521571776,0.007619357491852511,1,1
5.6,34.0,4.3,259.2,129.0,4.3,10.061461794019934,10.106129701174934,0.0015771279732341714,0.0015845966579409176,0.002282436931920707,0.0027414384438085265,1,1
5.4,43.0,4.2,261.6,126.0,4.2,10.063492063492063,10.108159970647064,-4.870335750595256e-05,-4.3107252061191925e-05,0.003295390188203692,0.0031975862981430863,1,1
5.2,57.0,4.2,260.0,133.0,4.433333333333334,9.862637362637363,9.907305269792364,0.007744903080887822,0.007822966428310596,0.002748944309301984,0.0027272839874264675,1,1
4.9,51.0,4.6,245.00000000000003,138.29999999999998,4.609999999999999,10.027506654835847,10.072174561990847,-0.00014279490147112162,-0.0002446066557722504,0.008889166482260683,0.007460049555425514,1,1
5.2,47.0,4.4,257.6,132.0,4.4,9.923076923076925,9.967744830231926,0.004002959303974485,0.004025920146016437,0.005246098180230484,0.004650360910503387,1,1
4.9,45.0,4.8,244.50000000000003,144.0,4.8,9.885204081632654,9.929871988787655,0.007006284626935311,0.006977150131954157,0.0102631299249296,0.00868453935134388,1,1
5.0,65.0,4.3,250.0,139.5,4.65,9.893023255813954,9.937691162968955,0.006467537630824971,0.006467940764875113,0.0037318729729294243,0.003419357491852516,1,1
5.2,59.0,4.1,260.0,132.9,4.430000000000001,9.880863039399625,9.925530946554625,0.007610708703196467,0.007687347673503153,0.00234276019503242,0.002342668602811081,1,1
4.9,57.0,4.3,245.00000000000003,133.2,4.4399999999999995,10.18889416231609,10.233562069471091,-0.0069867081637294826,-0.007161163150950001,0.00767061413945199,0.006235559759507147,1,1
5.0,45.0,4.6,248.0,138.0,4.6,9.96521739130435,10.00988529845935,0.002454621965454873,0.0023996104975805843,0.008881591814646653,0.007419357491852516,1,1
4.8,48.0,4.8,239.99999999999997,144.0,4.8,10.000000000000002,10.044667907155002,0.0025062846269352512,0.002400540005291496,0.011113097413738329,0.009377437121647405,1,1
4.8,67.0,4.8,240.0,144.0,4.8,10.000000000000002,10.044667907155002,0.0025062846269352512,0.002400540005291496,0.005777942879505312,0.005419103788314068,1,1
